# Capture Picture retest on the transport fix (18:32): three rounds of leave, re-enter, capture; Back pressed mid-run in round three. Then (18:54) the same on the fix for that: Back mid-run, re-enter, camera switch. App feat/capture-keep-awake (uncommitted) on firmware ae_review e8b7feb5
# Started 2026-09-03 18:27:23. Times are MM:SS.mmm from the start of the capture.
# himax = COM6 @ 921600 (known adapter FTFAERNNA)
# nrf   = COM5 @ 115200 (known adapter FTH0BZPJA)
#
# Filtered to app writes and hook logs (minus hex dumps, heartbeats and the empty self-test lines), the device's Sleep/Wake/Captured/Finished/slot replies, and, on the nRF and Himax, the command arrivals, the packet numbers around each restart, the sleep entries, the state changes of the image task and the resets.
[05:04.357] app   | Extracting services and characteristics.
[08:31.090] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: OpParams 22 0 0 7 63 1 500 0 1000 80 1 0 100 1 0 0 18 1 0 16 0 2 50 65 15 0 0 286 326 1 110 1 
[08:31.356] himax | Inactive for 1000ms
[08:31.356] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[08:31.590] app   | Written selftest to the device WILD-CNKW (18:35:55-878)
[08:31.613] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[08:31.656] himax | Image task ready to sleep.
[08:31.656] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[08:31.656] himax | >>> Entering DPD at 2024:01:01 00:00:53
[08:31.972] nrf   | BLE in: Received   8 bytes 'selftest'
[08:32.490] app   | [SelfTest] bits=0x0000
[08:32.506] app   | Written AI getop -1 to the device WILD-CNKW (18:35:56-800)
[08:32.890] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[08:32.890] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[08:33.173] himax | Inactivity period set at 1000ms
[08:33.363] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[08:33.373] app   | [OpCache] dropped on wake for D6:47:9B:89:E7:23
[08:33.423] himax | MKL62BA command received: 'selftest'
[08:33.423] himax | MKL62BA command received: 'getop -1'
[08:33.807] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[08:34.223] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: OpParams 22 0 0 7 64 1 500 0 1000 80 1 0 100 1 0 0 18 1 0 16 0 2 50 65 15 0 0 286 326 1 110 1 
[08:34.655] himax | Inactive for 1000ms
[08:34.655] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[08:34.655] himax | Image task ready to sleep.
[08:34.655] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[08:34.655] himax | >>> Entering DPD at 2024:01:01 00:00:57
[08:34.756] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[08:35.273] app   | Written AI getop -1 to the device WILD-CNKW (18:35:59-565)
[08:35.640] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[08:35.640] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[08:36.188] himax | Inactivity period set at 1000ms
[08:36.288] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[08:36.290] app   | [OpCache] dropped on wake for D6:47:9B:89:E7:23
[08:36.492] himax | MKL62BA command received: 'selftest'
[08:36.492] himax | MKL62BA command received: 'getop -1'
[08:36.572] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[08:37.173] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: OpParams 22 0 0 7 65 1 500 0 1000 80 1 0 100 1 0 0 18 1 0 16 0 2 50 65 15 0 0 286 326 1 110 1 
[08:37.422] himax | Inactive for 1000ms
[08:37.422] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[08:37.633] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[08:37.723] himax | Image task ready to sleep.
[08:37.723] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[08:37.723] himax | >>> Entering DPD at 2024:01:01 00:01:00
[08:38.140] app   | Written AI setop 8 3000 to the device WILD-CNKW (18:36:02-431)
[08:38.405] nrf   | BLE in: Received  15 bytes 'AI setop 8 3000'
[08:38.405] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[08:38.655] himax | Inactivity period set at 1000ms
[08:39.006] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[08:39.023] app   | [OpCache] dropped on wake for D6:47:9B:89:E7:23
[08:39.271] himax | MKL62BA command received: 'selftest'
[08:39.271] himax | MKL62BA command received: 'setop 8 3000'
[08:39.321] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[08:39.944] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Set OpParam 8 = 3000
[08:40.390] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[08:40.473] himax | Inactive for 1000ms
[08:40.473] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[08:40.473] himax | Image task ready to sleep.
[08:40.473] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[08:40.473] himax | >>> Entering DPD at 2024:01:01 00:01:02
[08:41.057] app   | [KeepAwake] holding D6:47:9B:89:E7:23 awake: op8 1000 -> 3000
#
# ---- Second window, 18:54: the fix for round three under test, then the camera switch that never reset. The Himax's 'IMAGE task unhandled event ... in Uninitialised' line repeats every second from 27:38 on; shown once below, the logger counted 948 of them by 19:02. ----
#
[26:38.814] app   | [ScanLoop] Flushed stale BLE state
[26:39.214] app   | [ScanLoop] Starting scan burst
[26:39.383] app   | [EngineerConnect] Device found during scan, auto-connecting: D6:47:9B:89:E7:23
[26:39.507] app   | [EngineerConnect] Connecting to WILD-CNKW
[26:40.579] app   | Extracting services and characteristics.
[26:40.582] app   | Available services: ["1800","1801","6e400001-b5a3-f393-e0a9-e50e24dcca9e"]
[26:40.618] app   | Notifications started for 6e400003-b5a3-f393-e0a9-e50e24dcca9e
[26:40.621] app   | Connection priority: High
[26:40.632] app   | MTU negotiated to 512 bytes
[26:40.638] app   | Device WILD-CNKW connected
[26:40.727] app   | [EngineerConnect] Connected, navigating to EngineerConsoleScreen
[27:10.877] app   | Written AI slots to the device WILD-CNKW (18:54:35-178)
[27:11.208] nrf   | BLE in: Received   8 bytes 'AI slots'
[27:11.208] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[27:11.509] himax | Inactivity period set at 1000ms
[27:11.710] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[27:11.772] himax | MKL62BA command received: 'selftest'
[27:11.772] himax | MKL62BA command received: 'slots'
[27:12.074] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[27:12.124] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[27:12.190] app   | Written AI getop -1 to the device WILD-CNKW (18:54:36-492)
[27:12.391] himax | MKL62BA command received: 'getop -1'
[27:12.426] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[27:12.426] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[27:12.465] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: OpParams 22 0 0 7 68 1 500 0 1000 80 1 0 100 1 0 0 18 1 0 16 0 2 50 65 15 0 0 286 326 1 110 1 
[27:12.561] app   | [Resolution] firmware exposes 32 ops, no op32: hi-res unavailable
[27:12.589] app   | Written AI getop -1 to the device WILD-CNKW (18:54:36-892)
[27:12.694] himax | MKL62BA command received: 'getop -1'
[27:12.872] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: OpParams 22 0 0 7 68 1 500 0 1000 80 1 0 100 1 0 0 18 1 0 16 0 2 50 65 15 0 0 286 326 1 110 1 
[27:13.008] app   | Written selftest to the device WILD-CNKW (18:54:37-311)
[27:13.027] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[27:13.027] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[27:13.342] nrf   | BLE in: Received   8 bytes 'selftest'
[27:13.357] app   | [SelfTest] bits=0x0000
[27:13.380] app   | Written AI getop -1 to the device WILD-CNKW (18:54:37-683)
[27:13.609] himax | MKL62BA command received: 'getop -1'
[27:13.637] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: OpParams 22 0 0 7 68 1 500 0 1000 80 1 0 100 1 0 0 18 1 0 16 0 2 50 65 15 0 0 286 326 1 110 1 
[27:13.642] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[27:13.642] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[27:13.765] app   | Written AI getop -1 to the device WILD-CNKW (18:54:38-067)
[27:13.909] himax | MKL62BA command received: 'getop -1'
[27:14.042] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: OpParams 22 0 0 7 68 1 500 0 1000 80 1 0 100 1 0 0 18 1 0 16 0 2 50 65 15 0 0 286 326 1 110 1 
[27:14.201] app   | Written AI setop 8 3000 to the device WILD-CNKW (18:54:38-505)
[27:14.258] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[27:14.258] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[27:14.415] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Set OpParam 8 = 3000
[27:14.525] himax | MKL62BA command received: 'setop 8 3000'
[27:14.559] nrf   | BLE in: Received  15 bytes 'AI setop 8 3000'
[27:14.559] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[27:14.606] app   | [KeepAwake] holding D6:47:9B:89:E7:23 awake: op8 1000 -> 3000
[27:15.441] himax | Inactive for 1000ms
[27:15.441] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[27:15.441] himax | Image task ready to sleep.
[27:15.441] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[27:15.441] himax | >>> Entering DPD at 2024:01:01 00:20:18
[27:15.602] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[27:16.500] app   | Written AI setop 25 1 to the device WILD-CNKW (18:54:40-803)
[27:16.676] nrf   | BLE in: Received  13 bytes 'AI setop 25 1'
[27:16.676] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[27:17.275] himax | Inactivity period set at 3000ms
[27:17.338] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[27:17.338] app   | [OpCache] dropped on wake for D6:47:9B:89:E7:23
[27:17.576] himax | MKL62BA command received: 'selftest'
[27:17.576] himax | MKL62BA command received: 'setop 25 1'
[27:17.592] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[27:17.632] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Set OpParam 25 = 1
[27:20.624] himax | Inactive for 3000ms
[27:20.624] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[27:20.624] himax | Image task ready to sleep.
[27:20.624] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[27:20.624] himax | >>> Entering DPD at 2024:01:01 00:20:24
[27:20.845] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[27:20.849] app   | [BleSession] SLEEP signal detected — proceeding.
[27:20.996] app   | [useCapturePreview] startCapture called (count=1, interval=500)
[27:20.998] app   | [useCapturePreview] Phase 1: Setup — checking device state
[27:21.071] app   | Written AI getop -1 to the device WILD-CNKW (18:54:45-374)
[27:21.226] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[27:21.226] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[27:21.527] himax | Inactivity period set at 3000ms
[27:21.840] himax | MKL62BA command received: 'selftest'
[27:21.842] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[27:22.140] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[27:22.140] himax | MKL62BA command received: 'getop -1'
[27:22.215] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: OpParams 22 0 0 7 70 1 500 0 3000 80 1 0 100 1 0 0 18 1 0 16 0 2 50 65 15 1 0 286 326 1 110 1 
[27:22.362] app   | [useCapturePreview] Screen left; not sending the capture
[27:22.368] app   | Written AI setop 8 1000 to the device WILD-CNKW (18:54:46-670)
[27:22.443] himax | MKL62BA command received: 'setop 8 1000'
[27:22.610] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Set OpParam 8 = 1000
[27:22.743] nrf   | BLE in: Received  15 bytes 'AI setop 8 1000'
[27:22.743] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[27:22.820] app   | [KeepAwake] op8 on D6:47:9B:89:E7:23 restored to 1000 (release)
[27:25.743] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[27:25.809] himax | Inactive for 3000ms
[27:25.809] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[27:25.809] himax | Image task ready to sleep.
[27:25.809] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[27:25.809] himax | >>> Entering DPD at 2024:01:01 00:20:29
[27:34.551] app   | [Resolution] firmware exposes 32 ops, no op32: hi-res unavailable
[27:34.606] app   | Written AI slots to the device WILD-CNKW (18:54:58-910)
[27:34.659] nrf   | BLE in: Received   8 bytes 'AI slots'
[27:34.659] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[27:34.960] himax | Inactivity period set at 1000ms
[27:35.260] himax | MKL62BA command received: 'selftest'
[27:35.280] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[27:35.284] app   | [OpCache] dropped on wake for D6:47:9B:89:E7:23
[27:35.575] himax | MKL62BA command received: 'slots'
[27:35.575] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[27:35.670] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[27:35.818] app   | Written selftest to the device WILD-CNKW (18:55:00-121)
[27:36.176] nrf   | BLE in: Received   8 bytes 'selftest'
[27:36.401] app   | [SelfTest] bits=0x0000
[27:36.420] app   | Written AI setop 8 3000 to the device WILD-CNKW (18:55:00-724)
[27:36.490] himax | Inactive for 1000ms
[27:36.490] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[27:36.490] himax | MKL62BA command received: 'setop 8 3000'
[27:36.490] himax | Error 12 saving config
[27:36.490] himax | Image task ready to sleep.
[27:36.490] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[27:36.490] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[27:36.652] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Set OpParam 8 = 3000
[27:36.791] nrf   | BLE in: Received  15 bytes 'AI setop 8 3000'
[27:36.791] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[27:36.812] app   | Written AI getop -1 to the device WILD-CNKW (18:55:01-114)
[27:36.814] app   | [KeepAwake] holding D6:47:9B:89:E7:23 awake: op8 1000 -> 3000
[27:37.046] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: OpParams 22 0 0 7 71 1 500 0 3000 80 1 0 100 1 0 0 18 1 0 16 0 2 50 65 15 1 0 286 326 1 110 1 
[27:37.092] himax | MKL62BA command received: 'getop -1'
[27:37.092] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[27:37.092] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[27:38.009] himax | Inactive for 1000ms
[27:38.009] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[27:38.009] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[27:38.009] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[27:38.919] app   | Written AI slots to the device WILD-CNKW (18:55:03-223)
[27:39.225] nrf   | BLE in: Received   8 bytes 'AI slots'
[27:39.225] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[27:39.225] himax | Inactive for 1000ms
[27:39.225] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[27:39.225] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[27:39.225] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[27:39.225] himax | MKL62BA command received: 'slots'
[27:39.314] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[27:39.465] app   | [useCameraSwitch] switching from RP3 to HM0360
[27:39.495] app   | Written AI switchslot to the device WILD-CNKW (18:55:03-798)
[27:39.764] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Switched to slot 0 ('HM0360 (night/IR)'). Reset scheduled.
[27:39.826] nrf   | BLE in: Received  13 bytes 'AI switchslot'
[27:39.826] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[27:39.826] himax | MKL62BA command received: 'switchslot'
[27:39.826] himax | Switched to slot 0 ('HM0360 (night/IR)'). Reset scheduled.
[27:39.826] himax | Sending 64 bytes: Header 4, payload 58, checksum 2 'Switched to slot 0 ('HM0360 (night/IR)'). Reset scheduled.'
[27:40.743] himax | Inactive for 1000ms
[27:40.743] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[27:40.743] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[27:40.743] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[27:41.958] himax | Inactive for 1000ms
[27:41.958] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[27:41.958] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[27:41.958] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[27:42.875] himax | Inactive for 1000ms
[27:42.875] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[27:42.875] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[27:42.875] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[27:44.090] himax | Inactive for 1000ms
[27:44.090] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[27:44.090] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[27:44.090] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[27:44.993] himax | Inactive for 1000ms
[27:44.993] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[27:44.993] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[27:44.993] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[27:45.922] himax | Inactive for 1000ms
[27:45.922] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[27:45.922] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[27:45.922] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[27:47.157] himax | Inactive for 1000ms
[27:47.157] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[27:47.157] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[27:47.157] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[27:48.074] himax | Inactive for 1000ms
[27:48.074] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[27:48.074] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[27:48.074] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[27:49.292] himax | Inactive for 1000ms
[27:49.292] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[27:49.292] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[27:49.292] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[27:50.209] himax | Inactive for 1000ms
[27:50.209] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[27:50.209] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[27:50.209] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[27:51.126] himax | Inactive for 1000ms
[27:51.126] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[27:51.126] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[27:51.126] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[27:52.342] himax | Inactive for 1000ms
[27:52.342] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[27:52.342] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[27:52.342] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[27:53.258] himax | Inactive for 1000ms
[27:53.258] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[27:53.258] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[27:53.258] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[27:54.475] himax | Inactive for 1000ms
[27:54.475] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[27:54.475] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[27:54.475] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[27:55.392] himax | Inactive for 1000ms
[27:55.392] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[27:55.392] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[27:55.392] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[27:56.308] himax | Inactive for 1000ms
[27:56.308] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[27:56.308] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[27:56.609] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[27:57.525] himax | Inactive for 1000ms
[27:57.525] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[27:57.525] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[27:57.525] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[27:58.441] himax | Inactive for 1000ms
[27:58.441] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[27:58.441] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[27:58.441] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[27:59.657] himax | Inactive for 1000ms
[27:59.657] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[27:59.657] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[27:59.657] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:00.574] himax | Inactive for 1000ms
[28:00.574] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:00.574] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:00.574] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:01.776] himax | Inactive for 1000ms
[28:01.776] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:01.776] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:01.776] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:02.692] himax | Inactive for 1000ms
[28:02.692] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:02.692] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:02.693] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:03.609] himax | Inactive for 1000ms
[28:03.609] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:03.609] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:03.609] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:04.825] himax | Inactive for 1000ms
[28:04.826] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:04.826] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:04.826] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:05.742] himax | Inactive for 1000ms
[28:05.742] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:05.742] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:05.742] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:06.959] himax | Inactive for 1000ms
[28:06.959] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:06.959] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:06.959] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:07.874] himax | Inactive for 1000ms
[28:07.874] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:07.874] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:07.874] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:08.806] himax | Inactive for 1000ms
[28:08.806] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:08.806] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:09.107] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:09.931] app   | [BleSession] Timed out waiting for SLEEP signal after 30000ms.
[28:09.933] app   | [useCameraSwitch] no Sleep within 30000ms; polling instead
